epoch,train_loss,test_loss,medae,mae
0,0.18038156774058284,0.1347115936260375,70.52667,97.8453
1,0.12514034887234055,0.13205673699341122,67.88513,95.827095
2,0.11074903865615685,0.1166247706564646,66.480225,90.62146
3,0.1004973299118627,0.1069237289447633,58.777405,84.53663
4,0.09473458509818017,0.08887989618002422,50.380005,74.08211
5,0.08834367459157548,0.08421993409357374,46.705444,71.3081
6,0.08468880206049675,0.08293167619951188,44.720337,69.63008
7,0.08104472556912092,0.07654057579144599,40.836914,65.21629
8,0.07644254951719269,0.07799721716178788,42.934204,66.87494
9,0.07349778832014338,0.06929433860239528,37.257446,60.73421
10,0.07119686854075626,0.06835903883689926,36.994873,60.103546
11,0.07017426467333657,0.06689796791899771,35.407593,59.159367
12,0.06712803968870307,0.07021179375430894,37.667725,60.81768
13,0.0657585264142766,0.08994727144165644,54.93579,77.07317
14,0.06537791568622646,0.08315814073596682,53.46338,73.47815
15,0.0638566984242177,0.06205245479941368,34.079224,56.105167
16,0.06159929545277144,0.06450749614409038,35.59912,57.94195
17,0.0605428848504664,0.06276031287889632,33.04657,55.480293
18,0.05972162407796934,0.06383273998896281,36.274353,57.695213
19,0.058956671209330576,0.06193172269397312,33.38556,55.922047
20,0.058176830188330426,0.059412299936252924,30.41858,52.84197
21,0.05649327399928969,0.0600560928384463,33.694153,55.1539
22,0.05572031723313123,0.058803361648368455,30.877808,52.95713
23,0.05500158336592385,0.05768505256209108,30.843506,52.460026
24,0.05413543584337272,0.05856565658062223,32.697327,53.93141
25,0.05359746742830333,0.0567391984282978,29.317078,51.4623
26,0.051768841897230224,0.05690058610505528,29.390503,51.25851
27,0.0515322001034995,0.05595890190156679,28.432007,50.534767
28,0.05171893853916827,0.05693065103084322,30.921509,52.06776
29,0.05074149082262677,0.05850193815098868,29.858032,51.812668
30,0.04994454976186097,0.05492465348825568,28.659607,50.02543
31,0.048612328201710464,0.06071120376388232,30.840454,53.431877
32,0.048541875697108376,0.05674639835007607,29.292542,50.804325
33,0.04739078822957567,0.0544640648932684,29.38794,50.005505
34,0.04746844041424681,0.0602872943476079,30.534363,53.201168
35,0.046425438890478524,0.05428202027484538,27.748108,48.915905
36,0.04522380396441753,0.0547940137071742,27.912903,49.239014
37,0.0454938030872212,0.057660972965615134,32.19702,52.67079
38,0.04518628138974606,0.05331591729606901,26.96814,48.177204
39,0.04382857736719557,0.05390123292685501,27.895813,48.827343
